,Postcode,OA_Code,Total,Percentage
L15 4JN: E00034099,L15 4JN,E00034099,1,1
L15 4LG: E00034108,L15 4LG,E00034108,11,73
L15 4LG: E00034110,L15 4LG,E00034110,4,27
L15 4LH: E00034071,L15 4LH,E00034071,1,2
L15 4LH: E00034105,L15 4LH,E00034105,60,98
L15 4LL: E00034071,L15 4LL,E00034071,16,73
L15 4LL: E00034077,L15 4LL,E00034077,6,27
L15 4LP: E00034071,L15 4LP,E00034071,2,17
L15 4LP: E00034108,L15 4LP,E00034108,10,83
L15 4NG: E00034100,L15 4NG,E00034100,2,5
L15 4NG: E00034102,L15 4NG,E00034102,38,95
L15 5AD: E00033220,L15 5AD,E00033220,82,48
L15 5AD: E00034099,L15 5AD,E00034099,89,52
L15 5AH: E00033198,L15 5AH,E00033198,1,1
L15 5AH: E00033202,L15 5AH,E00033202,16,23
L15 5AH: E00033220,L15 5AH,E00033220,54,76
L15 5BN: E00033410,L15 5BN,E00033410,90,90
L15 5BN: E00033413,L15 5BN,E00033413,10,10
L15 6TB: E00033401,L15 6TB,E00033401,4,20
L15 6TB: E00033405,L15 6TB,E00033405,16,80
L15 6TF: E00033391,L15 6TF,E00033391,3,6
L15 6TF: E00033395,L15 6TF,E00033395,17,35
L15 6TF: E00033396,L15 6TF,E00033396,29,59
L15 6TN: E00033396,L15 6TN,E00033396,3,43
L15 6TN: E00176715,L15 6TN,E00176715,4,57
L15 6TR: E00033374,L15 6TR,E00033374,4,8
L15 6TR: E00033403,L15 6TR,E00033403,44,92
L15 6WA: E00033339,L15 6WA,E00033339,19,17
L15 6WA: E00033365,L15 6WA,E00033365,90,83
L15 6XT: E00033333,L15 6XT,E00033333,59,98
L15 6XT: E00033339,L15 6XT,E00033339,1,2
L15 7JA: E00033319,L15 7JA,E00033319,44,48
L15 7JA: E00176668,L15 7JA,E00176668,48,52
L15 7JX: E00033319,L15 7JX,E00033319,69,91
L15 7JX: E00176668,L15 7JX,E00176668,7,9
L15 8GA: E00033373,L15 8GA,E00033373,21,22
L15 8GA: E00033386,L15 8GA,E00033386,76,78
L15 8GB: E00176668,L15 8GB,E00176668,4,5
L15 8GB: E00176669,L15 8GB,E00176669,70,95
L15 8GH: E00176668,L15 8GH,E00176668,14,70
L15 8GH: E00176669,L15 8GH,E00176669,6,30
L15 8HA: E00033394,L15 8HA,E00033394,32,38
L15 8HA: E00034108,L15 8HA,E00034108,53,62
L15 8HB: E00033394,L15 8HB,E00033394,26,24
L15 8HB: E00033395,L15 8HB,E00033395,82,76
L15 8HG: E00033394,L15 8HG,E00033394,44,81
L15 8HG: E00034108,L15 8HG,E00034108,10,19
L15 8HY: E00033394,L15 8HY,E00033394,49,42
L15 8HY: E00034106,L15 8HY,E00034106,68,58
L15 8JX: E00176669,L15 8JX,E00176669,35,67
L15 8JX: E00176714,L15 8JX,E00176714,17,33
L15 8LE: E00176668,L15 8LE,E00176668,98,98
L15 8LE: E00176669,L15 8LE,E00176669,2,2
L15 8LG: E00033358,L15 8LG,E00033358,50,68
L15 8LG: E00033388,L15 8LG,E00033388,23,32
L15 8LN: E00033389,L15 8LN,E00033389,15,58
L15 8LN: E00176714,L15 8LN,E00176714,11,42
L15 9EZ: E00033406,L15 9EZ,E00033406,1,1
L15 9EZ: E00033407,L15 9EZ,E00033407,76,99
L1  5AP: E00176629,L1  5AP,E00176629,5,50
L1  5AP: E00176647,L1  5AP,E00176647,5,50
L1  5BS: E00176647,L1  5BS,E00176647,24,23
L1  5BS: E00176736,L1  5BS,E00176736,27,26
L1  5BS: E00176769,L1  5BS,E00176769,54,51
L1  5BU: E00176739,L1  5BU,E00176739,160,92
L1  5BU: E00176766,L1  5BU,E00176766,13,8
L1  5BW: E00176627,L1  5BW,E00176627,13,10
L1  5BW: E00176739,L1  5BW,E00176739,25,20
L1  5BW: E00176769,L1  5BW,E00176769,87,70
L1  5DA: E00176627,L1  5DA,E00176627,18,39
L1  5DA: E00176739,L1  5DA,E00176739,28,61
L1  5DQ: E00033024,L1  5DQ,E00033024,15,47
L1  5DQ: E00176741,L1  5DQ,E00176741,17,53
L1  5ES: E00032987,L1  5ES,E00032987,22,88
L1  5ES: E00033021,L1  5ES,E00033021,3,12
L1  5JD: E00176736,L1  5JD,E00176736,3,8
L1  5JD: E00176741,L1  5JD,E00176741,37,93
L16 0JG: E00033323,L16 0JG,E00033323,52,95
L16 0JG: E00033346,L16 0JG,E00033346,3,5
L16 0JQ: E00033323,L16 0JQ,E00033323,81,94
L16 0JQ: E00033346,L16 0JQ,E00033346,5,6
L16 1JE: E00033316,L16 1JE,E00033316,3,3
L16 1JE: E00033320,L16 1JE,E00033320,86,97
L16 1JF: E00033362,L16 1JF,E00033362,2,4
L16 1JF: E00176677,L16 1JF,E00176677,53,96
L16 5EJ: E00176677,L16 5EJ,E00176677,8,31
L16 5EJ: E00176678,L16 5EJ,E00176678,18,69
L16 5ET: E00033322,L16 5ET,E00033322,33,45
L16 5ET: E00034443,L16 5ET,E00034443,40,55
L16 5EU: E00176677,L16 5EU,E00176677,65,66
L16 5EU: E00176678,L16 5EU,E00176678,33,34
L16 5EW: E00176677,L16 5EW,E00176677,74,59
L16 5EW: E00176678,L16 5EW,E00176678,51,41
L16 6AR: E00033333,L16 6AR,E00033333,5,9
L16 6AR: E00033364,L16 6AR,E00033364,49,91
L16 6AS: E00033333,L16 6AS,E00033333,5,7
L16 6AS: E00033364,L16 6AS,E00033364,69,93
L16 8NA: E00033338,L16 8NA,E00033338,36,90
L16 8NA: E00033345,L16 8NA,E00033345,4,10
L16 9JW: E00033326,L16 9JW,E00033326,76,99
L16 9JW: E00033348,L16 9JW,E00033348,1,1
L17 0AL: E00033026,L17 0AL,E00033026,22,92
L17 0AL: E00033047,L17 0AL,E00033047,2,8
L17 0BL: E00033029,L17 0BL,E00033029,30,97
L17 0BL: E00033055,L17 0BL,E00033055,1,3
L17 0BX: E00033027,L17 0BX,E00033027,2,5
L17 0BX: E00033029,L17 0BX,E00033029,40,95
L17 0DE: E00033027,L17 0DE,E00033027,100,91
L17 0DE: E00033046,L17 0DE,E00033046,10,9
L17 0EL: E00033027,L17 0EL,E00033027,45,78
L17 0EL: E00033046,L17 0EL,E00033046,13,22
L17 2AT: E00033181,L17 2AT,E00033181,68,93
L17 2AT: E00176613,L17 2AT,E00176613,5,7
L17 2AX: E00033181,L17 2AX,E00033181,73,96
L17 2AX: E00176611,L17 2AX,E00176611,3,4
L17 2BJ: E00033219,L17 2BJ,E00033219,57,41
L17 2BJ: E00176613,L17 2BJ,E00176613,82,59
L17 3BG: E00033032,L17 3BG,E00033032,2,3
L17 3BG: E00033067,L17 3BG,E00033067,75,97
L17 3BU: E00033182,L17 3BU,E00033182,1,1
L17 3BU: E00033217,L17 3BU,E00033217,125,99
L17 4JP: E00033073,L17 4JP,E00033073,109,98
L17 4JP: E00033075,L17 4JP,E00033075,2,2
L17 4JU: E00033040,L17 4JU,E00033040,65,98
L17 4JU: E00033079,L17 4JU,E00033079,1,2
L17 4LA: E00033038,L17 4LA,E00033038,9,11
L17 4LA: E00033040,L17 4LA,E00033040,70,89
L17 4LB: E00033038,L17 4LB,E00033038,3,3
L17 4LB: E00033079,L17 4LB,E00033079,92,97
L17 4LG: E00033040,L17 4LG,E00033040,63,81
L17 4LG: E00033079,L17 4LG,E00033079,15,19
L17 5AD: E00033051,L17 5AD,E00033051,1,1
L17 5AD: E00165719,L17 5AD,E00165719,78,99
L17 5AG: E00033051,L17 5AG,E00033051,48,87
L17 5AG: E00165719,L17 5AG,E00165719,7,13
L17 5BD: E00165721,L17 5BD,E00165721,82,96
L17 5BD: E00165730,L17 5BD,E00165730,3,4
L17 5BZ: E00165721,L17 5BZ,E00165721,44,71
L17 5BZ: E00165730,L17 5BZ,E00165730,18,29
L17 6AG: E00033065,L17 6AG,E00033065,39,57
L17 6AG: E00033883,L17 6AG,E00033883,30,43
L17 6AQ: E00033065,L17 6AQ,E00033065,1,4
L17 6AQ: E00176720,L17 6AQ,E00176720,22,85
L17 6AQ: E00176721,L17 6AQ,E00176721,3,12
L17 6AU: E00033063,L17 6AU,E00033063,20,83
L17 6AU: E00033064,L17 6AU,E00033064,1,4
L17 6AU: E00033065,L17 6AU,E00033065,3,13
L17 6EH: E00033030,L17 6EH,E00033030,12,57
L17 6EH: E00033060,L17 6EH,E00033060,9,43
L17 6ER: E00033885,L17 6ER,E00033885,18,16
L17 6ER: E00176720,L17 6ER,E00176720,29,26
L17 6ER: E00176721,L17 6ER,E00176721,64,58
L17 6GD: E00033885,L17 6GD,E00033885,53,65
L17 6GD: E00176719,L17 6GD,E00176719,28,35
L17 6GE: E00033885,L17 6GE,E00033885,22,33
L17 6GE: E00176719,L17 6GE,E00176719,45,67
L17 7AJ: E00033606,L17 7AJ,E00033606,1,1
L17 7AJ: E00033613,L17 7AJ,E00033613,95,99
L17 7AL: E00033605,L17 7AL,E00033605,3,2
L17 7AL: E00033613,L17 7AL,E00033613,146,98
L17 7AR: E00033584,L17 7AR,E00033584,46,92
L17 7AR: E00033586,L17 7AR,E00033586,4,8
L17 7AW: E00033585,L17 7AW,E00033585,8,21
L17 7AW: E00033586,L17 7AW,E00033586,31,79
L17 7BN: E00033583,L17 7BN,E00033583,31,97
L17 7BN: E00033602,L17 7BN,E00033602,1,3
L17 7BP: E00033605,L17 7BP,E00033605,1,3
L17 7BP: E00033606,L17 7BP,E00033606,29,97
L17 7JQ: E00033584,L17 7JQ,E00033584,326,100
L17 7JQ: E00165731,L17 7JQ,E00165731,1,0
L17 8TA: E00033032,L17 8TA,E00033032,101,96
L17 8TA: E00033068,L17 8TA,E00033068,4,4
L17 8UE: E00033033,L17 8UE,E00033033,9,12
L17 8UE: E00033069,L17 8UE,E00033069,67,88
L17 8UF: E00033033,L17 8UF,E00033033,61,98
L17 8UF: E00033069,L17 8UF,E00033069,1,2
L17 8US: E00033035,L17 8US,E00033035,6,86
L17 8US: E00033072,L17 8US,E00033072,1,14
L17 8UT: E00033032,L17 8UT,E00033032,4,57
L17 8UT: E00033068,L17 8UT,E00033068,3,43
L17 9PG: E00033585,L17 9PG,E00033585,2,50
L17 9PG: E00033586,L17 9PG,E00033586,2,50
L17 9PJ: E00033051,L17 9PJ,E00033051,14,26
L17 9PJ: E00033618,L17 9PJ,E00033618,40,74
L17 9PW: E00033051,L17 9PW,E00033051,57,97
L17 9PW: E00033052,L17 9PW,E00033052,2,3
L17 9QH: E00033051,L17 9QH,E00033051,9,10
L17 9QH: E00033052,L17 9QH,E00033052,78,90
L17 9QR: E00165720,L17 9QR,E00165720,40,89
L17 9QR: E00165721,L17 9QR,E00165721,5,11
L1  7BT: E00033018,L1  7BT,E00033018,193,70
L1  7BT: E00033023,L1  7BT,E00033023,79,29
L1  7BT: E00176620,L1  7BT,E00176620,2,1
L18 0HJ: E00033406,L18 0HJ,E00033406,74,97
L18 0HJ: E00033417,L18 0HJ,E00033417,2,3
L18 1DR: E00033188,L18 1DR,E00033188,2,3
L18 1DR: E00033194,L18 1DR,E00033194,58,97
L18 1DY: E00033185,L18 1DY,E00033185,14,19
L18 1DY: E00033194,L18 1DY,E00033194,59,81
L18 1EH: E00033185,L18 1EH,E00033185,32,57
L18 1EH: E00033186,L18 1EH,E00033186,24,43
L18 1HL: E00033198,L18 1HL,E00033198,62,78
L18 1HL: E00033220,L18 1HL,E00033220,17,22
L18 1LN: E00033127,L18 1LN,E00033127,2,29
L18 1LN: E00033413,L18 1LN,E00033413,3,43
L18 1LN: E00033414,L18 1LN,E00033414,2,29
L18 2EG: E00033421,L18 2EG,E00033421,3,4
L18 2EG: E00033423,L18 2EG,E00033423,66,96
L18 3EA: E00033376,L18 3EA,E00033376,36,65
L18 3EA: E00034470,L18 3EA,E00034470,19,35
L18 3HL: E00033422,L18 3HL,E00033422,46,65
L18 3HL: E00034463,L18 3HL,E00034463,25,35
L18 3HY: E00033095,L18 3HY,E00033095,4,11
L18 3HY: E00033375,L18 3HY,E00033375,32,89
L18 4PG: E00033050,L18 4PG,E00033050,16,24
L18 4PG: E00033869,L18 4PG,E00033869,51,76
L18 4PU: E00033050,L18 4PU,E00033050,3,5
L18 4PU: E00033869,L18 4PU,E00033869,55,95
L18 4QN: E00033042,L18 4QN,E00033042,18,47
L18 4QN: E00033868,L18 4QN,E00033868,20,53
L18 4QQ: E00033872,L18 4QQ,E00033872,59,94
L18 4QQ: E00033878,L18 4QQ,E00033878,4,6
L18 4QY: E00033872,L18 4QY,E00033872,2,10
L18 4QY: E00033878,L18 4QY,E00033878,18,90
L18 4RF: E00033042,L18 4RF,E00033042,38,67
L18 4RF: E00033868,L18 4RF,E00033868,19,33
L18 5HG: E00033384,L18 5HG,E00033384,57,93
L18 5HG: E00033385,L18 5HG,E00033385,4,7
L18 5HQ: E00033384,L18 5HQ,E00033384,60,92
L18 5HQ: E00033385,L18 5HQ,E00033385,5,8
L18 8AD: E00033043,L18 8AD,E00033043,9,28
L18 8AD: E00033385,L18 8AD,E00033385,23,72
L18 8AJ: E00033037,L18 8AJ,E00033037,66,96
L18 8AJ: E00033076,L18 8AJ,E00033076,3,4
L18 8AL: E00033042,L18 8AL,E00033042,10,9
L18 8AL: E00033043,L18 8AL,E00033043,101,91
L18 8BL: E00033037,L18 8BL,E00033037,24,34
L18 8BL: E00176666,L18 8BL,E00176666,46,66
L18 8BT: E00033076,L18 8BT,E00033076,1,3
L18 8BT: E00176667,L18 8BT,E00176667,29,97
L18 9TB: E00033096,L18 9TB,E00033096,70,74
L18 9TB: E00033117,L18 9TB,E00033117,25,26
L18 9TQ: E00033087,L18 9TQ,E00033087,5,7
L18 9TQ: E00033124,L18 9TQ,E00033124,70,93
L18 9UU: E00033119,L18 9UU,E00033119,12,75
L18 9UU: E00033124,L18 9UU,E00033124,4,25
L18 9XN: E00033873,L18 9XN,E00033873,56,97
L18 9XN: E00033880,L18 9XN,E00033880,2,3
L1  8DZ: E00176674,L1  8DZ,E00176674,27,93
L1  8DZ: E00176700,L1  8DZ,E00176700,2,7
L1  8HG: E00176700,L1  8HG,E00176700,3,9
L1  8HG: E00176724,L1  8HG,E00176724,29,91
L19 0NS: E00033895,L19 0NS,E00033895,57,92
L19 0NS: E00033896,L19 0NS,E00033896,5,8
L19 1RJ: E00034162,L19 1RJ,E00034162,10,12
L19 1RJ: E00034164,L19 1RJ,E00034164,73,88
L19 1RY: E00033894,L19 1RY,E00033894,49,46
L19 1RY: E00034174,L19 1RY,E00034174,57,54
L19 1RZ: E00033893,L19 1RZ,E00033893,20,27
L19 1RZ: E00034159,L19 1RZ,E00034159,53,73
L19 2HB: E00176703,L19 2HB,E00176703,13,19
L19 2HB: E00176722,L19 2HB,E00176722,55,81
L19 2HE: E00176703,L19 2HE,E00176703,61,90
L19 2HE: E00176722,L19 2HE,E00176722,7,10
L19 2JD: E00176673,L19 2JD,E00176673,17,59
L19 2JD: E00176704,L19 2JD,E00176704,12,41
L19 2JG: E00034180,L19 2JG,E00034180,34,97
L19 2JG: E00176704,L19 2JG,E00176704,1,3
L19 2JP: E00176672,L19 2JP,E00176672,96,83
L19 2JP: E00176673,L19 2JP,E00176673,19,17
L19 2JT: E00176671,L19 2JT,E00176671,9,14
L19 2JT: E00176672,L19 2JT,E00176672,54,86
L19 2LE: E00034164,L19 2LE,E00034164,10,26
L19 2LE: E00176673,L19 2LE,E00176673,16,41
L19 2LE: E00176704,L19 2LE,E00176704,13,33
L19 2LG: E00034164,L19 2LG,E00034164,57,97
L19 2LG: E00034178,L19 2LG,E00034178,2,3
L19 2LX: E00034164,L19 2LX,E00034164,76,92
L19 2LX: E00176704,L19 2LX,E00176704,7,8
L19 3PW: E00033849,L19 3PW,E00033849,49,96
L19 3PW: E00033881,L19 3PW,E00033881,2,4
L19 3QD: E00033065,L19 3QD,E00033065,27,60
L19 3QD: E00033883,L19 3QD,E00033883,18,40
L19 3QW: E00033853,L19 3QW,E00033853,7,47
L19 3QW: E00033883,L19 3QW,E00033883,8,53
L19 3QZ: E00033065,L19 3QZ,E00033065,29,45
L19 3QZ: E00033883,L19 3QZ,E00033883,36,55
L19 4UE: E00033124,L19 4UE,E00033124,1,3
L19 4UE: E00033131,L19 4UE,E00033131,30,97
L19 4XB: E00033104,L19 4XB,E00033104,66,94
L19 4XB: E00033131,L19 4XB,E00033131,4,6
L19 6PH: E00034162,L19 6PH,E00034162,45,94
L19 6PH: E00034169,L19 6PH,E00034169,3,6
L19 6PL: E00034171,L19 6PL,E00034171,3,7
L19 6PL: E00034175,L19 6PL,E00034175,43,93
L19 7NA: E00033854,L19 7NA,E00033854,80,89
L19 7NA: E00034159,L19 7NA,E00034159,10,11
L19 8AB: E00034165,L19 8AB,E00034165,27,23
L19 8AB: E00176707,L19 8AB,E00176707,93,78
L19 8EE: E00034165,L19 8EE,E00034165,15,21
L19 8EE: E00034182,L19 8EE,E00034182,16,22
L19 8EE: E00176707,L19 8EE,E00176707,42,58
L19 8EH: E00034167,L19 8EH,E00034167,60,86
L19 8EH: E00176707,L19 8EH,E00176707,10,14
L19 8EL: E00034165,L19 8EL,E00034165,17,32
L19 8EL: E00176707,L19 8EL,E00176707,36,68
L19 8HT: E00034165,L19 8HT,E00034165,71,88
L19 8HT: E00176707,L19 8HT,E00176707,10,12
L19 8NT: E00034165,L19 8NT,E00034165,23,96
L19 8NT: E00034182,L19 8NT,E00034182,1,4
L19 8NU: E00034165,L19 8NU,E00034165,10,37
L19 8NU: E00034182,L19 8NU,E00034182,17,63
L19 9AE: E00033854,L19 9AE,E00033854,63,97
L19 9AE: E00034159,L19 9AE,E00034159,2,3
L19 9BN: E00033850,L19 9BN,E00033850,1,3
L19 9BN: E00033881,L19 9BN,E00033881,35,97
L19 9DG: E00033850,L19 9DG,E00033850,14,78
L19 9DG: E00033881,L19 9DG,E00033881,4,22
L19 9HA: E00033851,L19 9HA,E00033851,4,21
L19 9HA: E00033890,L19 9HA,E00033890,15,79
L1  9BZ: E00033023,L1  9BZ,E00033023,1,6
L1  9BZ: E00176695,L1  9BZ,E00176695,16,94
L1  9DN: E00176619,L1  9DN,E00176619,28,52
L1  9DN: E00176692,L1  9DN,E00176692,26,48
L1  9DW: E00176619,L1  9DW,E00176619,10,23
L1  9DW: E00176620,L1  9DW,E00176620,34,77
L1  9DZ: E00032988,L1  9DZ,E00032988,8,24
L1  9DZ: E00176695,L1  9DZ,E00176695,26,76
L1  9HB: E00176619,L1  9HB,E00176619,2,4
L1  9HB: E00176620,L1  9HB,E00176620,35,78
L1  9HB: E00176694,L1  9HB,E00176694,8,18
L20 0DR: E00035720,L20 0DR,E00035720,2,2
L20 0DR: E00035729,L20 0DR,E00035729,79,98
L20 0ED: E00035728,L20 0ED,E00035728,4,11
L20 0ED: E00035729,L20 0ED,E00035729,31,89
L20 2AA: E00035298,L20 2AA,E00035298,9,43
L20 2AA: E00035300,L20 2AA,E00035300,12,57
L20 2BG: E00034355,L20 2BG,E00034355,31,91
L20 2BG: E00034365,L20 2BG,E00034365,3,9
L20 2BN: E00034355,L20 2BN,E00034355,49,91
L20 2BN: E00034365,L20 2BN,E00034365,5,9
L20 2DE: E00035286,L20 2DE,E00035286,5,6
L20 2DE: E00035298,L20 2DE,E00035298,39,49
L20 2DE: E00035323,L20 2DE,E00035323,36,45
L20 3AD: E00035292,L20 3AD,E00035292,14,50
L20 3AD: E00035302,L20 3AD,E00035302,14,50
L20 3AN: E00035323,L20 3AN,E00035323,2,9
L20 3AN: E00170484,L20 3AN,E00170484,20,91
L20 3AP: E00035292,L20 3AP,E00035292,14,52
L20 3AP: E00035317,L20 3AP,E00035317,13,48
L20 3HA: E00035311,L20 3HA,E00035311,34,74
L20 3HA: E00035314,L20 3HA,E00035314,12,26
L20 3HJ: E00035311,L20 3HJ,E00035311,4,13
L20 3HJ: E00035314,L20 3HJ,E00035314,28,88
L20 3NY: E00035292,L20 3NY,E00035292,7,12
L20 3NY: E00035302,L20 3NY,E00035302,22,39
L20 3NY: E00035317,L20 3NY,E00035317,28,49
L20 4AP: E00035516,L20 4AP,E00035516,23,55
L20 4AP: E00035519,L20 4AP,E00035519,19,45
L20 4BG: E00035516,L20 4BG,E00035516,28,80
L20 4BG: E00035519,L20 4BG,E00035519,7,20
L20 4DL: E00035519,L20 4DL,E00035519,19,29
L20 4DL: E00035520,L20 4DL,E00035520,46,71
L20 4EX: E00035508,L20 4EX,E00035508,3,4
L20 4EX: E00035515,L20 4EX,E00035515,75,96
L20 4FB: E00035512,L20 4FB,E00035512,5,63
L20 4FB: E00035513,L20 4FB,E00035513,3,38
L20 4JL: E00035507,L20 4JL,E00035507,12,16
L20 4JL: E00035511,L20 4JL,E00035511,62,84
L20 4LH: E00035507,L20 4LH,E00035507,1,3
L20 4LH: E00035544,L20 4LH,E00035544,39,98
L20 4NH: E00035505,L20 4NH,E00035505,1,5
L20 4NH: E00035506,L20 4NH,E00035506,20,95
L20 4NP: E00035537,L20 4NP,E00035537,51,89
L20 4NP: E00035539,L20 4NP,E00035539,6,11
L20 4NR: E00035506,L20 4NR,E00035506,17,94
L20 4NR: E00035542,L20 4NR,E00035542,1,6
L20 4NU: E00035506,L20 4NU,E00035506,4,67
L20 4NU: E00035543,L20 4NU,E00035543,2,33
L20 4PL: E00035505,L20 4PL,E00035505,64,98
L20 4PL: E00035506,L20 4PL,E00035506,1,2
L20 4RL: E00035540,L20 4RL,E00035540,2,4
L20 4RL: E00035541,L20 4RL,E00035541,51,96
L20 4RR: E00035539,L20 4RR,E00035539,72,95
L20 4RR: E00035541,L20 4RR,E00035541,4,5
L20 4SF: E00035506,L20 4SF,E00035506,1,1
L20 4SF: E00035542,L20 4SF,E00035542,70,99
L20 4YG: E00035516,L20 4YG,E00035516,29,62
L20 4YG: E00035519,L20 4YG,E00035519,18,38
L20 5AW: E00035291,L20 5AW,E00035291,1,2
L20 5AW: E00035301,L20 5AW,E00035301,52,98
L20 5BD: E00035291,L20 5BD,E00035291,2,5
L20 5BD: E00035305,L20 5BD,E00035305,38,95
L20 5BL: E00035291,L20 5BL,E00035291,68,97
L20 5BL: E00035314,L20 5BL,E00035314,2,3
L20 5DN: E00035573,L20 5DN,E00035573,7,30
L20 5DN: E00035576,L20 5DN,E00035576,16,70
L20 5EQ: E00035301,L20 5EQ,E00035301,7,15
L20 5EQ: E00170487,L20 5EQ,E00170487,40,85
L20 5EU: E00035568,L20 5EU,E00035568,39,80
L20 5EU: E00035573,L20 5EU,E00035573,10,20
L20 6AA: E00035547,L20 6AA,E00035547,9,56
L20 6AA: E00035571,L20 6AA,E00035571,7,44
L20 6AR: E00035571,L20 6AR,E00035571,42,84
L20 6AR: E00170485,L20 6AR,E00170485,8,16
L20 6DA: E00035547,L20 6DA,E00035547,13,24
L20 6DA: E00170485,L20 6DA,E00170485,42,76
L20 6DB: E00035547,L20 6DB,E00035547,14,32
L20 6DB: E00035571,L20 6DB,E00035571,30,68
L20 6DX: E00035551,L20 6DX,E00035551,29,97
L20 6DX: E00035553,L20 6DX,E00035553,1,3
L20 6DY: E00035551,L20 6DY,E00035551,2,3
L20 6DY: E00035722,L20 6DY,E00035722,59,97
L20 6HN: E00035717,L20 6HN,E00035717,64,97
L20 6HN: E00035721,L20 6HN,E00035721,2,3
L20 6HX: E00034399,L20 6HX,E00034399,5,13
L20 6HX: E00035719,L20 6HX,E00035719,34,87
L20 6HZ: E00035718,L20 6HZ,E00035718,49,94
L20 6HZ: E00035721,L20 6HZ,E00035721,3,6
L20 6JU: E00035553,L20 6JU,E00035553,3,5
L20 6JU: E00035554,L20 6JU,E00035554,52,95
L20 7AB: E00035521,L20 7AB,E00035521,25,96
L20 7AB: E00170492,L20 7AB,E00170492,1,4
L20 7BN: E00035502,L20 7BN,E00035502,1,3
L20 7BN: E00035524,L20 7BN,E00035524,4,13
L20 7BN: E00035526,L20 7BN,E00035526,27,84
L20 7BZ: E00035501,L20 7BZ,E00035501,8,44
L20 7BZ: E00035524,L20 7BZ,E00035524,10,56
L20 7DF: E00035501,L20 7DF,E00035501,59,83
L20 7DF: E00035502,L20 7DF,E00035502,12,17
L20 7DG: E00035501,L20 7DG,E00035501,5,6
L20 7DG: E00035502,L20 7DG,E00035502,82,94
L20 7DH: E00035501,L20 7DH,E00035501,6,17
L20 7DH: E00170492,L20 7DH,E00170492,30,83
L20 7DN: E00035524,L20 7DN,E00035524,63,95
L20 7DN: E00035526,L20 7DN,E00035526,3,5
L20 9AH: E00035285,L20 9AH,E00035285,55,89
L20 9AH: E00035317,L20 9AH,E00035317,7,11
L20 9ET: E00034388,L20 9ET,E00034388,6,8
L20 9ET: E00035316,L20 9ET,E00035316,65,92
L20 9LS: E00035294,L20 9LS,E00035294,9,18
L20 9LS: E00035296,L20 9LS,E00035296,41,82
L21 1AJ: E00035262,L21 1AJ,E00035262,24,92
L21 1AJ: E00035265,L21 1AJ,E00035265,2,8
L21 1AT: E00035258,L21 1AT,E00035258,15,17
L21 1AT: E00035260,L21 1AT,E00035260,71,83
L21 1DE: E00035265,L21 1DE,E00035265,6,30
L21 1DE: E00035528,L21 1DE,E00035528,14,70
L21 1EZ: E00035255,L21 1EZ,E00035255,38,100
L21 1EZ: E00035279,L21 1EZ,E00035279,0,0
L21 2QN: E00035400,L21 2QN,E00035400,5,14
L21 2QN: E00035403,L21 2QN,E00035403,32,86
L21 3TX: E00035503,L21 3TX,E00035503,1,7
L21 3TX: E00035527,L21 3TX,E00035527,14,93
L21 6NH: E00035548,L21 6NH,E00035548,23,28
L21 6NH: E00035550,L21 6NH,E00035550,4,5
L21 6NH: E00035584,L21 6NH,E00035584,55,67
L21 7LN: E00035392,L21 7LN,E00035392,3,4
L21 7LN: E00035393,L21 7LN,E00035393,75,96
L21 7ND: E00035392,L21 7ND,E00035392,2,6
L21 7ND: E00035393,L21 7ND,E00035393,32,94
L21 7PF: E00035402,L21 7PF,E00035402,39,87
L21 7PF: E00035403,L21 7PF,E00035403,6,13
L21 8HH: E00035564,L21 8HH,E00035564,2,2
L21 8HH: E00035572,L21 8HH,E00035572,81,98
L21 8HL: E00035572,L21 8HL,E00035572,6,12
L21 8HL: E00035576,L21 8HL,E00035576,46,88
L21 8LF: E00035549,L21 8LF,E00035549,30,94
L21 8LF: E00035556,L21 8LF,E00035556,2,6
L21 8NA: E00035548,L21 8NA,E00035548,2,2
L21 8NA: E00035549,L21 8NA,E00035549,81,98
L21 8QG: E00035572,L21 8QG,E00035572,29,81
L21 8QG: E00035576,L21 8QG,E00035576,7,19
L21 9HL: E00035375,L21 9HL,E00035375,4,4
L21 9HL: E00035395,L21 9HL,E00035395,88,96
L21 9HQ: E00035385,L21 9HQ,E00035385,43,96
L21 9HQ: E00035386,L21 9HQ,E00035386,2,4
L21 9JR: E00035385,L21 9JR,E00035385,4,4
L21 9JR: E00035389,L21 9JR,E00035389,88,96
L21 9JT: E00035376,L21 9JT,E00035376,81,99
L21 9JT: E00035385,L21 9JT,E00035385,1,1
L21 9LY: E00035388,L21 9LY,E00035388,76,94
L21 9LY: E00170490,L21 9LY,E00170490,5,6
L21 9NF: E00035388,L21 9NF,E00035388,11,52
L21 9NF: E00170490,L21 9NF,E00170490,10,48
L21 9QE: E00170489,L21 9QE,E00170489,55,98
L21 9QE: E00170490,L21 9QE,E00170490,1,2
L22 0LT: E00035277,L22 0LT,E00035277,19,95
L22 0LT: E00035278,L22 0LT,E00035278,1,5
L22 0NL: E00035277,L22 0NL,E00035277,3,4
L22 0NL: E00035278,L22 0NL,E00035278,76,96
L22 1RG: E00035253,L22 1RG,E00035253,21,95
L22 1RG: E00035284,L22 1RG,E00035284,1,5
L22 1RH: E00035249,L22 1RH,E00035249,15,75
L22 1RH: E00035252,L22 1RH,E00035252,5,25
